Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6p","C_0402_1005Metric",11.677500,1.800000,-90.000000,top
"C2","100n","C_0402_1005Metric",15.677500,5.000000,90.000000,top
"C3","100n","C_0402_1005Metric",11.700000,7.400000,-90.000000,top
"C4","6p","C_0402_1005Metric",15.677500,1.800000,-90.000000,top
"C5","100n","C_0402_1005Metric",10.300000,7.400000,-90.000000,top
"C6","100n","C_0402_1005Metric",9.100000,1.800000,-90.000000,top
"C7","100n","C_0402_1005Metric",22.400000,20.900000,-90.000000,top
"C8","100n","C_0402_1005Metric",21.900000,18.800000,0.000000,top
"C9","100n","C_0402_1005Metric",19.600000,18.800000,0.000000,top
"C10","100n","C_0402_1005Metric",15.700000,7.400000,-90.000000,top
"C11","100n","C_0402_1005Metric",3.500000,16.270000,-90.000000,top
"C12","22u","C_0805_2012Metric",9.100000,12.000000,180.000000,top
"C13","22u","C_0805_2012Metric",9.100000,9.700000,180.000000,top
"C14","22u","C_0805_2012Metric",9.100000,20.700000,0.000000,top
"C15","22u","C_0805_2012Metric",9.100000,18.400000,0.000000,top
"C16","1u","C_0402_1005Metric",19.580000,11.900000,0.000000,top
"C17","1u","C_0402_1005Metric",21.900000,11.900000,0.000000,top
"C18","1u","C_0402_1005Metric",19.600000,17.500000,0.000000,top
"C19","2u2","C_0402_1005Metric",23.900000,18.300000,-90.000000,top
"C20","2u2","C_0402_1005Metric",26.700000,20.900000,-90.000000,top
"C21","1u","C_0402_1005Metric",26.700000,13.600000,90.000000,top
"C23","2u2","C_0402_1005Metric",26.700000,15.700000,90.000000,top
"C24","1u","C_0402_1005Metric",6.900000,14.600000,-90.000000,top
"D1","ESD5Z24","D_SOD-523",39.200000,10.800000,0.000000,top
"D2","RED","LED_0402_1005Metric",2.200000,19.651618,90.000000,top
"D3","ESD5Z6.0","D_SOD-523",46.200000,7.600000,180.000000,top
"D4","ESD5Z6.0","D_SOD-523",26.700000,10.800000,0.000000,top
"D5","RED","LED_0402_1005Metric",2.200000,22.348382,-90.000000,top
"D6","500mV @ 2A","D_SOD-123F",5.300000,21.000000,-90.000000,top
"J1","S2B-PH-SM4","JST_PH_01x02_SMT_Horizontal",39.500000,4.700000,0.000000,top
"J2","Raspberry_Pi","RaspberryPi_low_profile_HAT_connector",32.500000,26.500000,0.000000,top
"J3","USB4125-GF-A","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",51.500000,2.100000,0.000000,top
"J4","S2B-PH-SM4","JST_PH_01x02_SMT_Horizontal",27.000000,4.700000,0.000000,top
"J5","SM04B-SRSS-TB","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",62.125000,15.587500,90.000000,top
"L1","1u5","L_Vishay_IHLP-2525",14.600000,14.700000,90.000000,top
"R1","5k1","R_0402_1005Metric",14.600000,21.200000,0.000000,top
"R2","5k1","R_0402_1005Metric",17.100000,21.200000,180.000000,top
"R3","5k1","R_0402_1005Metric",45.400000,5.500000,90.000000,top
"R4","5k1","R_0402_1005Metric",57.600000,5.500000,90.000000,top
"R5","5k1","R_0402_1005Metric",9.100000,7.400000,-90.000000,top
"R6","10k","R_0402_1005Metric",7.900000,7.400000,90.000000,top
"R7","10k","R_0402_1005Metric",3.500000,19.651618,-90.000000,top
"R8","5k1","R_0402_1005Metric",7.900000,1.800000,-90.000000,top
"R9","750k","R_0402_1005Metric",12.100000,21.200000,0.000000,top
"R10","133k","R_0402_1005Metric",12.100000,19.900000,0.000000,top
"R11","10k","R_0402_1005Metric",3.500000,22.348382,90.000000,top
"R12","10k","R_0402_1005Metric",22.400000,13.650000,-90.000000,top
"R13","13k","R_0402_1005Metric",22.400000,15.750000,-90.000000,top
"R14","1M2","R_0402_1005Metric",25.300000,18.300000,-90.000000,top
"R15","200k","R_0402_1005Metric",26.700000,18.310000,-90.000000,top
"R16","10k","R_0402_1005Metric",19.580000,10.700000,180.000000,top
"R18","1k","R_0402_1005Metric",21.900000,17.500000,0.000000,top
"R19","10k","R_0402_1005Metric",23.900000,15.700000,-90.000000,top
"R20","1M2","R_0402_1005Metric",14.600000,19.900000,180.000000,top
"R21","1M2","R_0402_1005Metric",17.100000,19.900000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",2.600000,9.500000,90.000000,top
"U1","MCP7940N-xMNY","DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm",13.677500,6.222500,90.000000,top
"U2","XC6192B","USP-8B06",9.100000,4.600000,-90.000000,top
"U3","LM66200","Texas_DRL0008A_SOT-583",20.000000,20.900000,90.000000,top
"U4","ATECC608A-MAHDA","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",17.800000,6.200000,90.000000,top
"U5","DRV5032FC","TO-92Flat",1.800000,16.770000,-90.000000,top
"U6","MP3423","MPS_PowerQFN-14_2x2mm",9.303300,15.200000,-90.000000,top
"U7","BQ25185","Texas_DLH0010A_WSON-10",19.900000,14.700000,90.000000,top
"U8","TLV76701DRVx","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",24.600000,20.900000,90.000000,top
"U9","BQ27427","Texas_DSBGA-9_1.62mmx1.58mm_Layout3x3_P0.5mm",24.600000,13.300000,0.000000,top
"Y1","32.768kHz","Crystal_SMD_2012-2Pin_2.0x1.2mm",13.677500,1.800000,180.000000,top
